text,label
uno mes esperar y todavía no haber llegado él comprar el de octubre y él suponer que fecha límite de entrega ser el de octubre ahora él haber ampliar al tres de noviembre así que a ver si llegar mañana o volver a poner otro fecha no yo parecer nada serio almenos esperar cuando él recibir que no yo decepcionar,0
ok siempre comprar este tipo de modelo para él casa yo ir mucho bien él chancla,1
buen precio y buen café fácil de utilizar no hacer tanto ruido como decir él comentario el café salir buen y con espuma él recomer si estar de oferta,1
queja haber recibido el cd en uno caja roto no haber papel burbuja ni protección ninguno en el paquete sobre de cartón ser él primero vez que yo pasar uno cosa así,0
fallar tras uno mes de uso el coche yo a empezar a hacer uno extraño eléctrico resultado el corto corriente fallar yo gustar hacer uno devolución,0
tinta de calidad tal cual él descripción él calidad ser normal él esperado así que bien y el precio algo más barato que él medio,1
no ser del mismo modelo el producto estar buen él único ser que ser más estrecho que mi móvil por tanto quedar parte sin cubrir,0
pequeño ser pequeño si poner uno plato encima no ver él pantalla él pila que venir con él báscula apenas durar mes y creer que él haber estropear pero no ser así el peso no ser mucho preciso empezar a marcar normalmente a partir de él gramo aunque alguno vez ser a partir de g pero no ser él habitual y si por ejemplo levantar él taza después de haber pesado algo y él volver a poner alguno vez no detectar el peso de él que ir añadir y él quedar igual que él que haber pesado al principio,0
buen funcionamiento cumplir con su función reparar uno válvula de uno peugeot con sensor de presión sin problema y sin más gasto mucho recomendable,1
perfecto ser economico y funcionar bien,1
j gutiérrez mucho malo calidad creer que por ser de marca tener durabilidad pero en solo año y medio de duración estar inservible pues él él caer él pintura y saltar chispas en su funcionamiento uno pena él verdad,0
material malo en mi caso este fenomenal pero no yo a durar nada empezar por romperse él cambio de chorro y después él yo raer del cabezal sin tener ninguno caída él volver a comprar por su ahorro de agua pero por su calidad no,0
correcto él adaptar perfectamente a él pantalla y él poner mucho fácil,1
jesus él calidad de él tela no ser él que esperar falta uno pieza del brazo del sofa segun indicar él caja y alguno parte ser excesivamente grande,0
no duro casi nada él batería nuevo no llegar a mediodía de carga,0
buen relación calidad precio buen calidad de detalle y por el precio bien en general él pieza aunque encajar bien ser mucho curva en él borde él que hacer que él ver más él estructura del puzzle que él propio foto en cierto posición donde reflejar más él luz también él poder mejorar el que encajar con más perfección uno con otro,1
calidad precio mucho fácil su manejo venir con tres batería calidad precio mucho alto,1
relación calidad precio buen funda sencillo pero aguantar bien el uso diario,1
no yo él cancelar él comprar por error todavia no estar enviado y querer cancelarlo y ni caso yo él haber enviado ya no comprar mas y borrer aplicación,0
fran esperar que él batería durar algo más sin hablar ni wifi ni gps duro uno dos día por él demás ser él esperado,1
buen calidad precio este bien ser caliente,1
color horrible ser exactamente él que él ver en él foto cumplir su función él malo ser el olor apestar y el color uno rojo descolorido que dar él sensación de plastico malo tanto malo que yo no él poner en mi coche pd ver tira de metro a estrenar xd,0
no ser fiable no ser nada puntual y no llegar él pedido a tiempo,0
super cucki mucho cucki no él romper,1
sara ser uno monado y ser el regalo perfecto él papis él quedar con él boca abierto mucho buen elección él recomer,1
regular el material ser demasiado pesado cuando él lleno con helio apenas él elevar material ser resistente pero no él ajustar a él deseado,0
ok mucho bien este todo perfecto mucho bien este todo perfecto mucho bien este todo perfecto mucho bien este todo perfecto no tener mas nada q decir,0
protector protector de pantalla mucho recomendable facilisimo de poner y no dejar burbuja en pantalla él adaptar perfectamente al moto g,1
toma haber durar uno semana al poco tiempo él romper él soporte que aguantar él funda y no serbir baja calidad,0
sencillo y barati pequeño pero matón sencillo de instalar y funcionar mucho bien haber vuelto a comprar otro para uno familiar,1
comodo súper cómodo y ser más ancho y así evitar molestia en ese zona,1
mucho bien casi año usado a diario y como nuevo,1
duro poco él calidad ser malo él despegar él esquina que sogeter él tablet,0
base de carga perfecto para movil este base de carga venir con usb tipo c no como mucho que venir con carga inalambrica que mi teléfono móvil no tener quedar en uno buen ángulo para poder usarlo en uno mesa con uno mano mientras estar con el portatil u ordenador tener uno rueda para ajustar él altura del conector y poder hacer buen contacto con cualquiera teléfono venir sin adaptador de corriente el cable que llevar ser uno usb y haber que conectarlo a uno cargador,1
diseño y variedad estar mucho chulo él etiqueta tal y como elegir en el diseño venir varios tamaño para diferente objeto él de él zapato traer uno protector para mayor durabilidad yo haber encantado él único que no yo haber gustar ser el envío él cobrar y haber tardar demasiado él pedir el día y yo haber llegado hoy día y el curso escolar empezar el recomer pero pedirlo con tiempo,1
envase pa tirar el pegamento mas o menos bien el envase tapon pegar en uso a ver cuando inventar envase no él pegar él tapa,0
duradero ratón que por el precio funcionar bien,1
tamaño irreal mucho grande y cuadrada,0
nefasto el producto pasado él fecha de entrega no yo haber llegado y yo enviar q él valorar ni producto ni dinero,0
buen función precio desproporcionado creer sinceramente que con producto mucho más económico de farmacia él poder conseguir uno finalidad parecido,0
flojo él comprar para inflar uno tabla de paddle surf y no tener fuerza él poner mucho caliente y él eternizar el inflarlo,0
mucho mal no él haber recibido y yo él haber cobrar no haber recibido él cortina yo parecer vergonzoso que tú llamar tanto vez y no yo deír ninguno respuesta si él haber perdido por el camino y yo él haber pagado creer que tú tener que hacer responsable de devolver el dinero o mandarme otro,0
genial el mejor para llevarlo en el coche,1
uno joya mucho buen en el tiempo que él haber utilizado de bateria mucho bien y no ocupar sitio,1
estupendo funda él adaptar a él perfección al móvil no ser tanto robusto como el que tener para el redmi note pero más estético él esquina venir algo reforzado,1
mes de funcionamiento él comprar en enero y a fecha de abril haber dejar de funcionar el uso haber ser mínimo por él que pensar que el artículo no merecer él pena,0
decoracion led interactivo original para decorar y dar uno poco de luz de ambiente a tu lugar favorito con varios intensidad y modos de luz led blanco y con temporizador incluir mando a distacia para mayor control de todo el mecanismo él unico pegar ser que necesitar pila aa para su correcto funcionamiento,1
recomendable este funda ofrecer uno protección razonable también para proteger él pantalla y él adaptar perfectamente al xiaomi mi a él pulsación de él botón lateral con él funda él endurecer uno poco sin ser excesivo el tacto de él funda ser correcto aunque quizás él agradecer algo de rugosidad en él lateral para uno mejor agarre ver si amarillento con el paso del tiempo,1
al comprar en amazon él garantía de año no él respetar después de mes funcionar bien a muerto él batería él descarga solo recomer no él comprar nadie yo sentir estafado por el vendedor y amazon que permitir pasar este cosa,0
mucho recomendable el tamaño ser perfecto para ajustarlo a uno palo selfie ser bastante estable y no pesar mucho el diseño ser bonito y ser suave al tacto uno buen compra,1
material sintetico brocha de material sintético de calidad baja para uso diario no profesional no ser tanto nada mal pero para profesional no él recomer fuerte olor a plástico pero él ir con el tiempo por el precio que tener no él él poder pedir mas,0
recomendable mucho buen material y no él escurrir tal y como él necesitar tener que añadir palabra más pero no tener nada más que añadir,1
malo experiencia funcionar normalmente de pronto dar uno pequeño explosión y dejar sin funcionamiento a mi portátil él haber tener que llevar a reparar y su reparación haber ser cara ser uno pena que uno producto que vender amazon ocasión este destrozo ahora esperar que él empresa del cargador él hacer cargo de él daño ocasionado,0
uno timo nunca yo haber llegado,0
mucho buen calidad precio presentación del producto en él caja calidad del producto varios accesorio calidad de imagen y de foto mucho buen producto calidad precio,1
mal no llegar nunca y el vendedor yo decir que hacer uno reembolso que tampoco yo a llegado pues para poner buen nota,0
difícil de limpiar ser mucho cómodo y él adaptar perfectamente pero él ensuciar mucho rápido y ser casi imposible de limpiar después,0
ser él que querer él pegatina estar bien pero salir uno poco cara por él pequeño que ser,1
él encantar a mi hijo él comprar para mi hijo y él gustar mucho ya que traer tamaño diferente y alguno brillar en él oscuridad quedar encantado echar en falta uno bolsa para guardarlas,1
perfectamente funcional mucho fácil de instalar él instrucción estar ser castellano,1
buen articulo tal cual él describir él utilizar para cortar él uña de mi perro y ir genial,1
no recomendable no tú enseñar nada que no ver en él tutorial que ver de él mismo en internet no yo haber gustar nada especial,0
honer a pescado el envase honer bastante a pescado y él cápsula tú repetir en el gusto después de haberlas tomado no yo haber pasado con otro fabricante él puntuo así por que no él si ser normal el envase bastante simple,0
ser marca original ser perfecto ser marca original ninguno problema volver a comprarlos,1
el primero día ya él entrar agua comprar este modelo sumergible para utilizarlo en él piscina pero ya el primero día él entrar agua no ser estanco él haber devolver y no él recomendar,0
yo parecer malo compra no atraer y por tanto no matar mosca ni por descuido sólo de vez en cuando caer alguno despistado no yo parecer buen compra,0
regular no estar contento con el resultado final no tener claro si ser culpa de él camara o del q yo él poner él ver bien el problema ser él amplitud que ser mucho poco no ver bien él lateral y quedar ese punto muerto que yo hacer usar espejo pantalla deberir tener mas angulo o ponerla mas arriba nose no estar contento,0
uno vergüenza uno vergüenza poner entregado a uno vecino y ser uno urbanización con vecino yo no tener mi pedido y salir firmado por mi como él explicar ese vergonzoso,0
no él recomer ser malísimo ser malísimo solo servir para cargar él dispositivo pero en ios no transmitir él dato y para ese ya tener él enchufe original no él recomer,0
jersey él romper en el primero lavado baja calidad yo gustar mucho en él foto pero puesto no quedar mucho bien,0
super largo perfecto llegar a todo,1
divertido él comprar para mi sobrino y él encantar ser fácil de instalar y tener bastante juego,1
calidad y precio mucho buen en general,1
buen libro para día de verano no ser uno joya literario pero él dejar leer o mejor dicho devorar cómo lectura veraniego ser mucho recomendable,1
relación calidad precio ideal mucho recomendable tardar más tiempo en sacarlo del envoltorio que en instalarlo,1
no él reconocer pues tener problema con el producto adquirido no yo él reconocer el pórtatil él quedar él controlador de software hacer búsqueda con el administrador de dispositivo no él solucionar y con drivers tampoco así que él experiencia nulo nefasto y mucho malo,0
flojo el que él repetir él mismo diálogo en cada capítulo depender de si estar hablar él o el resultar tedioso de leer,0
buen calidad él carcasa encajar perfectamente él protección ser mucho buen ya que tener aislado él borde por él que en caso de caída él carcasa amortiguar el impacto mucho contento,1
él campana tener uno tara de fabricar él campana tener uno deformacion en el frontal aunque estar con su caja y protección original tambien estar decepcionado con él aspiracion de él mismo mucho pobre,0
anónimo en mi caso haber venir con uno defecto en el lado izquierdo venir como uno parte que él ver diferente él pantalla como él sensación de si no pegar bien pero pegar si estar,0
rápido y bien libro para de primaria de él asignatura de religión,1
venir estropear haber comprar libro de este colección estar mucho buen calidad precio pero este parecer usado venir con él tapa estropeado todo él esquina romper levantado y en el centro plástico también levantado pero no yo merecer él pena devolverlo aunque no yo parecer bien que llegar mal,0
completo estafa yo aceptar él devolucion decir hacerse cargo de él devolucion yo enviar etiqueta de enviar ordinario y despues de devolver el producto nunca yo reembolsar el dinero alegar que no recibir el articulo estafa,0
buen producto buen producto él questa arrancar pero funcionar bien,1
proteger mucho bien él tablet quedar perfecto en él tablet y proteger mucho bien,1
todo bien mucho a gusto con él compra todo bien ser tal cual él foto tener mi duda al momento de comprarlo pero al recibirlo haber quedar a gusto estar bien él recomer,1
toner bien toner mucho bien y tener espacio hasta para tostada a él vez él unico malo ser que ser mucho largo,1
producto no entregado este producto no él poder valorar porque no yo haber llegado nunca el pedido,0
diseño yo gustar el diseño pero ser ruidoso cuando él abrir para que caer uno buen caudal al mes de usarlo gotear estar cerrado,0
no de mucho calidad pero cumplir su cometido,0
decepción por segundo vez comprar devolver y vuelto a comprar y en ambos ocasión haber llegado en color negro él único atractivo para mi hijo ser él color llamativo que él corresponder con él de él switch y ahora tener uno producto que no ser el que haber pedido no ir a devolverlos nuevamente pero no estar conforme con el servicio,0
uno buen prenda uno chaqueta que por su relación calidad precio haber cumplido con él expectativa él protección estar bastante bien él de él espalda no ser rígido ser uno especie de gomaespuma duro siempre ser mejor que no llevar nada,1
andres pequeño bien presentado y con uno calidad de sonido extraordinario mucho buen y cómodo para él práctica de él deporte,1
mucho chulo y gran cantidad de dardo buscar para mi hijo q ser uno fanático de él nerf uno chaleco táctico y este cumplir con todo él espectativa traer el chaleco dardo cargador granada gafas protector uno máscara tipo ghost chulisimo él dicho si ser uno fan de nerf no tú poder faltar uno chaleco recomendado,1
mucho útil cumplir con él expectativa mucho espacio para guardar él especia ligero y fácil de colocar uno buen compra mucho recomendable,1
no yo haber gustar por su precio esperar más haber mascarilla que ir mejor que este,0
buen grifo calidad precio yo gustar mucho de momento seguir funcionar y no haber tener ninguno problema,1
mucho buen yo decir que ser uno aguja excelente mucho buen,1
el mío no funcuona él haber tener que devolver no encajar mucho malo calidad,0
malisima no servir para nada no funcionar ser uno lamina de plastico malo con uno cable ser para poner en uno habitacion q no tener toma de antena pero no funcionar,0
juan manuel no funcionar cuando él colocar en el coche no encender él luz largo ni él corto,0
genial para regalo buen regalo para el día del padre mucho original envío rápido y llegar antes de él esperado el tiempo estimado de amazon dar para semana pero resultar ser uno falso alarma,1
buen producto en principio él ver uno producto de calidad buen y él respuesta en el iphone ser satisfactorio ejecutar él herramienta de análisis detectar perfectamente él batería y el análisis denotar uno recuperación total sobre él duración tras uno carga completo yo aguantar perfectamente todo el día,1
encajar mucho bien encajar perfectamente en mi coche tiguan del y él goma ser bastante grueso no él deslizar por el momento mucho contento,1
genial a cumplido con mi expectativa haber cumplido totalmente haber ser todo uno acierto como regalo,1
no haber derecho yo no pago euro por uno producto para que llegar uno bote medio vacío y sin sellar él política de devolución de amazon estar llegar a nivel absurdo cómo saber yo que nadie haber tener este producto antes que yo si alguien él haber tener poder haber vaciar el bote y rellenarlo con uno contenido diferente este ser abusivo y tener garantía algo que no él esperar del precio pagado acabar de cancelar mi suscripción a amazon prime ahora mismo y yo pensar mucho seriamente si él renuevo alguno día estar cansado de recibir producto usado que pago como si ser nuevo todo ese mientras yo cobrar amazon prime,0
en dos ocasión yo haber llegado dañar el joyero ser mucho bonito pero él haber pedido dos vez y él dos yo haber venir dañar uno de él uno poco menos pero levantado uno poco el material y en él otro directamente rajado uno de él lado y con el asa dañado también,0
mucho contento ser tal y como él ver en él foto y cumplir perfectamente su función yo quedar mucho contento con este producto y no tener nada malo que decir,1
espectacular él mover más de él que esperar,1
mucho carga para él que costar valer él pena,1
solicitar varios vez él factura con iva y no él enviar aunque el producto ser buen el servicio ser pesimo no enviar él factura y amazon no él hacer cargo solecer publicamente mi factura con iva,0
yo encantar llegar super rápido y el color ser aún más lindo que él que él ver en él foto del producto,1
práctica ser pequeño manejable y él poder transportar a cualquiera lugar alumbrar él suficiente en espacio de trabajo para él que tener próximo a él lámpara hacer deber él niño leer uno libro no él haber utilizado mucho aún haber que ver con el uso si ser uno producto duradero,1
no haber cumplido mi expectativa mal producto malo calidad y mucho pesado,0
él tema musical si él música ser mucho atractivo y captar él atención de mi nieto,1
el globo pesar y al llenarlos de helio no subir él idea ser buen pero al llevar él luz led el globo pesar y cuando él lleno de helio no subir,0
no comprar error no corresponder con el modelo no corresponder con el modelo,0
no él adaptar bien ser más pequeño no él adaptar bien al teléfono ser más pequeño y no cubrir todo él pantalla,0
no valer ser uno cable que no servir para su cometido a mi no yo haber servir de nada ser uno pena a él basura,0
no ser él que esperar al ser de plástico coger sabor mucho pronto a mi no yo gusto mucho,0
no querer devolver el pedido buen tarde como decir en el título no querer devolver el pedido únicamente querer que yo reponer él bombilla que yo haber llegado en mal estado saludo,0
yo encantar el tablero ser grueso pero no pesar tener buen acabado y él ficha dado y cubilete venir en uno práctica cajita de cartón,1
cargador para dos año él comprar hacer dos año para yo acer por dos euro menos y ahora tener que volver a invertir en él suponer que hoy en día nada duro como antes,1
decepcionado no yo llegar llamar por teléfono yo decir que haber uno problema en el envío y q no yo llegar a él mismo tarde ya haber subido el precio del producto,0
buen compra llegar rápido él haber utilizado para hacer chocolate negro con almendra perfecto recomendable,1
gran radio despertador tras uno semana de uso estar bastante contento con el sonido y él conectividad que ofrecer,1
producto en buen estado o deber cambiarlo ser normal que él lona venir así,0
mucho entretenido colección de relato que forma de contarnos tener santiago posteguillo colección de relato corto sumamente instructivo y ameno haber curiosidad de autor o de situación qu eme haber encantado conocer él maestria del escritor hacer que tras cada relato querer conocer el siguiente yo haber durar uno suspiro,1
malísimo calidad de mucho malo calidad al més de usarlo él haber descosido y él haber salir él cremallera y no ser por mal uso personal ser él primero vez que yo pasar con uno bolso al mes de usarlo,0
mgr él mochila ser mucho bonito y seguramente q buen pero él haber devolver xq en el interior en el fondo haber uno remache que yo creer deber estar tapar xq poder dañar él libro,0
mucho contento mucho cómodo mucho ligero él adaptar mucho bien a él cabeza llevar gafas graduado y ser súper práctico para uno buen visibilidad,1
anónimo no talla correctamente y complicar él devolución del pedido no él hacer cargo de él gasto de envío ni proporcionar el transporte,0
cristal mucho útil pero que tardar más de él esperado cristal mucho útil pero que tardar más de él esperado,1
malo instrucción de lavado no él haber usado el producto llegar ayer él laver hoy que indicar en instrucción del producto y él haber descolorido y él haber deshilachado si haber saber ese no él lavar ahora tener evento y tener que comprar otro porque en ninguno momento tú indicar que él poder devolver por él daño al lavarlo o cambiarlo por el mismo producto,0
excelente calidad precio genial para uno peque de año buen ilustración calidad precio,1
llegar alguno roto hablar con atención al cliente y él solecer,0
viscoso pero efectivo ser más viscoso que otro aceite que haber probado pero no mancha él ropa ni él mueble aunque poder dejar uno pátina pringoso si no tener cuidado para el pelo funcionar mucho bien él dejar mucho hidratado si él usar como mascarilla antes de lavarlo ojo costar uno poco quitarlo también él haber usado sobre él piel y él hidratar mucho bien y él dejar mucho brillante no tener el olor mucho fuerte,1
mucho divertido gran regalo para uno fiesta de cumpleaños con niño pequeño,1
cuidado con él lateral estar bien resultar bastante cómodo y ergonómico pero no proteger él lateral de golpe él justo mi ipad ahora tener uno esquina que no ser redonda y yo arrepentar de no haber comprar uno funda que proteger al completo,1
contenido buen continente mediocre él calidad no ser mucho buen pero el contenido estar mucho bien,0
no merecer él pena con tanto opinión del mismo tema e decidido yo también bajar él puntuación para ver si cambiar este problema de embalaje roto ser uno pena que venir tanto maltratado el producto,0
problema para cancelar desde el minuto ser amable pero no yo solucionar nada ser uno error al realizar el pedido querer cancelarlo al momento y él excusa ser que ya estar procesado luego que esperar a él recepción del pedido y luego mil gestión para reenviarlo y posterior abono no tener tiempo para perder con tanto gestión,0
entrega rapido disco externo segun él esperado aún no él haber utilizado en él tv ser el que comprar para guardar serie foto pasar bastante rápido desde el pc,1
yoly yo él pedir mi hija de regalo y no tener yo mucho fe en el producto pero tener que decir que él entretener mucho con él y fomentar su imaginación idear figura,1
buen producto a buen precio llevar tiempo tomándolo y de momento yo ir mucho bien con el él tomo antes de irme a dormir para relajar él músculo después de él jornada de curro y deporte,1
bonito y fácil de montar el montaje e instalación ser mucho fácil quedar mucho bien y no ocupar mucho a pesar de él cual permitir almacenar gran cantidad de producto,1
gorra mucho chulis y sentar de lujo con uno color mucho orijinal y uno diseño bonito y encima haber llegado antes de él prometer,1
calidad precio bien bien pero segun como encontrar en el deposito de él pulpa alguno tira de piel que creer deberir triturar del todo pero ser mucho poco por él general bien,1
correcto buen relación calidad precio,1
calidad precio excelente buen calidad y presentación del producto,1
ajuste perfecto pero ajuste excelente a él forma del teléfono y de él cámara pero interferir con el flash y él foto salir blanca por él parte de abajo,0
juego para aprender a moldear el juego estar mucho bien mucho completo y divertido mi hija él divertir mucho moldear él arcilla el problema ser que él acabar mucho pronto él paquete de arcilla suponer que él poder usar otro arcilla del mercado a pesar de que en amazon él comprar casi mas barato que en él tienda de juguete yo parecer uno poco caro tener en cuenta él que contener y el material plástico en general haber ser uno juguete mucho acertado como manualidad,1
no hacer milagro ni él intentar para uno piso pequeño darle mas cobertura a uno determinado habitación igual poder valer pero para más ni de coña,0
buen calidad tecla mas espacioso que otro teclado similar mas ordenado,1
aquaman cumplir con él expectativa aunque estar genial que venir con el tridente,1
comodidad yo haber resultado mucho cómodo desde el primero día el diseño bonito y sencillo,1
medidor de humedad y temperatura dejar de funcionar a él dos día ni poner uno pila nuevo volver a él vida dinero a él basura,0
documentacion el producto venir sin manual de instrucción ni documento de venta que él poder utilizar para uno futuro necesidad de aplicacion de garantia,0
vendedor no proporcionar factura nose si ser uno timo o no aun de hecho aun no haber recibido factura él haber reclamado mas de vez y yo dar largo des de amazon no yo dar ninguno opción cuidado con él vendedor que no dar factura,0
poco resistencia del vidrio templado él funda estar bien pero en él primero caída él yo haber rajado él pantalla,0
alto calidad estupendo entretenimiento para pasar él rato a parte de él complejidad del propio puzzle él calidad de él pieza ser mucho buen como amante de él puzzle estar encantado,1
buen estado el producto llegar a tiempo y en perfecto estado recomer él compra él volver a hacer en él ocasión que necesitar este tipo de producto,1
a él niño él encantar historia mucho divertido para lograr que él mas pequeño él enganchar a él lectura con este libro mi hijo yo pedir seguir leer,1
buen servicio él rotulador ser de mucho buen calidad yo tener uno pequeño problema el rotulador que más falta yo hacer ser el amarillo y justamente no venir en el pack no yo fijar bien en él foto él él decir al comprador y yo devolver el dinero y hacer uno nuevo compra fijándomar bien en él color todo genial,1
bien funcionar mucho bien cumplir con él espectativa,1
precisar de vía lego adicional con él vía básico y este caja no él poder mu tar circuito cerrado ser imprescindible comprar otro caja más vía para utilizar él cambio de aguja,0
sin problema el producto llegar en el tiempo estimado sin ninguno contratiempo sin embargo aún no tener opinión sobre el producto puesto que primero tener que probarlo,1
sacapunta doble malísimo malísimo al mes ya no sacar bien y deformar él punta del lapiz él tener que tirar,0
